ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_result,usd_funding_goal,company_address
1054480724ID,Luminoodle COLOR & BASECAMP: Versatile & Portable Lighting,Product Design,Design,USD,2016-04-22,25000.0,2016-03-22 16:39:57,408052.0,successful,5085,US,98849$ usd,408052.0,25000.0,"Mary Grove, 30815"
1317034686ID,Liberty's work was accepted into the Library of Congress!,Shorts,Film & Video,USD,2017-02-23,1100.0,2017-02-03 07:26:57,1106.0,successful,10,US,52486$ usd,1106.0,1100.0,"Garcia Tunnel, 77525"
121816660ID,Dusk - Open World Survival Horror (Canceled),Video Games,Games,GBP,2015-12-19,50000.0,2015-11-18 01:53:10,1625.0,canceled,58,GB,53482$ usd,2422.88,74550.09,"Payne Isle, 42813"
49882738ID,Eatsleeptrainrepeat,Web,Technology,SEK,2014-12-24,180000.0,2014-11-24 21:47:27,0.0,failed,0,SE,64632$ usd,0.0,23054.76,"Laura Stream, 08932"
1503277376ID,FLARE Video Project,Shorts,Film & Video,USD,2011-03-12,5000.0,2011-02-10 20:32:26,5025.0,successful,9,US,99272$ usd,5025.0,5000.0,"Andrew Pike, 24782"
2021765829ID,Feels Like Home is Going On Tour,Rock,Music,USD,2013-05-01,5000.0,2013-04-10 01:42:03,5490.69,successful,93,US,74996$ usd,5490.69,5000.0,"Gonzalez Landing, 20367"
923683665ID,Sarah’s Journey: Empowering the Dreams of Displaced Children,Children's Books,Publishing,SEK,2016-12-19,218000.0,2016-11-15 19:13:46,227101.0,successful,352,SE,67246$ usd,24593.47,23607.89,"Hall Loaf, 09759"
397532230ID,James Clark's Lonely Hearts Rugby Clwb Film & Recording,Music,Music,GBP,2014-02-04,300.0,2014-01-07 23:34:41,624.0,successful,26,GB,61172$ usd,1018.79,489.8,"Cunningham Throughway, 66540"
181163322ID,Chosen Kin: A New Superhero Series & Interactive Comic Book,Webseries,Film & Video,USD,2017-02-02,5000.0,2017-01-03 06:54:08,156.0,failed,5,US,96858$ usd,156.0,5000.0,"Bullock Skyway, 28207"
1616507003ID,Adventures in Oz: Beyond the Deadly Desert,Games,Games,USD,2011-12-02,3000.0,2011-11-01 00:00:10,520.0,failed,17,US,82928$ usd,520.0,3000.0,"Harris Estates, 48703"
373344194ID,Moonlight Vulture,Restaurants,Food,USD,2016-01-04,10000.0,2015-12-14 15:23:00,10727.0,successful,102,US,51152$ usd,10727.0,10000.0,"Bryant Manor, 16806"
2122827837ID,POPitbaby. Happy.Fresh.Smart. Making NYC Just a Bit Cooler.,Food,Food,USD,2013-05-31,10000.0,2013-05-01 14:16:50,10340.0,successful,46,US,91554$ usd,10340.0,10000.0,"Barker Grove, 87098"
286280470ID,REIKEN USA: Tire Covers Worthy of Your Adventure,Product Design,Design,USD,2017-08-21,6000.0,2017-08-01 17:14:42,6217.0,successful,55,US,73713$ usd,6217.0,6000.0,"Owens Roads, 12908"
1659643222ID,Sitting with a smile:),Crafts,Crafts,USD,2015-01-04,20000.0,2014-11-05 17:18:27,116.0,failed,11,US,63984$ usd,116.0,20000.0,"Frank Trail, 24512"
277680592ID,"Publish The Good, Bad and Gold: The Pursuit (Canceled)",Fiction,Publishing,USD,2014-10-30,12500.0,2014-09-30 18:28:52,137.0,canceled,6,US,64477$ usd,137.0,12500.0,"Jerry Plain, 05364"
2034347921ID,"Mills Adrian's Debut Album ""Something Worth Fighting For""",Faith,Music,USD,2014-10-25,4000.0,2014-08-26 23:39:21,4085.0,successful,33,US,89577$ usd,4085.0,4000.0,"Brandy Stream, 97687"
2039236715ID,Aurora Borealis (Album),Hip-Hop,Music,USD,2016-04-30,5000.0,2016-03-31 04:27:40,40.0,failed,1,US,84036$ usd,40.0,5000.0,"Fry Union, 21528"
399852375ID,Learn Modular Synthesizer Building,Sound,Technology,USD,2017-04-06,5000.0,2017-02-06 04:45:03,1.0,failed,1,US,94366$ usd,1.0,5000.0,"Molly Tunnel, 15365"
2058849769ID,Hello Industry Album Production,Indie Rock,Music,USD,2011-09-04,12000.0,2011-07-31 07:31:56,3835.0,failed,30,US,90012$ usd,3835.0,12000.0,"Randall Circle, 24539"
1689151234ID,A Journey Through The Affects of Child Abuse,Nonfiction,Publishing,USD,2018-01-19,6000.0,2017-12-05 18:37:04,1.0,live,1,US,58974$ usd,1.0,6000.0,"Mitchell Pike, 05410"
719012057ID,"Diamonds Are Evil - Laser Cut, Socially Responsible Designs",Product Design,Design,USD,2014-12-06,14000.0,2014-11-06 20:20:53,2361.0,failed,60,US,71683$ usd,2361.0,14000.0,"Hensley Mill, 11269"
601808678ID,2016 Eastlake Music Festival,Music,Music,USD,2016-03-09,4000.0,2016-01-21 00:03:19,4776.0,undefined,0,"N,0""",67277$ usd,4776.0,4000.0,"Bonnie Rapids, 16498"
656104413ID,Unbroken Angels,Film & Video,Film & Video,USD,2015-05-01,7500.0,2015-04-01 04:52:51,9612.0,undefined,0,"N,0""",72798$ usd,9612.0,7500.0,"Hunt Drive, 93947"
480656242ID,Help the Potatoes through the winter!,Food,Food,EUR,2015-02-06,100.0,2014-12-08 01:36:50,1.0,failed,1,NL,84248$ usd,1.14,114.47,"Kimberly Valley, 89075"
1582289289ID,Baby's On Fire,Restaurants,Food,USD,2016-04-12,10000.0,2016-03-23 14:17:06,10900.67,successful,150,US,70450$ usd,10900.67,10000.0,"Erin Mission, 85227"
1384707351ID,Batman Band Builder for Ios and Android (Canceled),Games,Games,GBP,2015-10-28,500.0,2015-09-28 21:17:03,0.0,canceled,0,GB,50983$ usd,0.0,766.99,"Barbara Islands, 71175"
888410320ID,"ClicknGet: shopping, eating and lifestyle in your area",Apps,Technology,EUR,2017-06-30,50000.0,2017-05-31 17:02:56,20.0,failed,1,DE,60616$ usd,22.82,57060.04,"Young Fields, 28586"
2090141272ID,ArtHoles: Pothole Art - New Orleans,Public Art,Art,USD,2017-05-01,300.0,2017-04-24 22:17:23,125.0,failed,2,US,56307$ usd,125.0,300.0,"Prince Roads, 56292"
23682453ID,First Root Farm's First Machine,Food,Food,USD,2012-11-21,9000.0,2012-10-12 15:07:58,10377.0,successful,160,US,97371$ usd,10377.0,9000.0,"Williams Freeway, 72507"
1884890674ID,Help bring Science News Teacher Guide to high schools,Journalism,Journalism,USD,2015-07-28,22000.0,2015-06-28 14:22:48,25751.45,successful,330,US,61886$ usd,25751.45,22000.0,"Phillips Shoals, 31135"
1242316079ID,Aqua Red 2013,Fashion,Fashion,USD,2013-03-18,2500.0,2013-02-01 23:15:21,2627.0,successful,40,US,88796$ usd,2627.0,2500.0,"Debbie Corner, 65141"
1511392096ID,Criss Cross Quail acres,Farms,Food,USD,2015-02-20,30000.0,2015-01-21 21:23:08,0.0,failed,0,US,80915$ usd,0.0,30000.0,"Stacey Loaf, 25341"
1318517801ID,Unik Aspekt - waste equals ressources - telling new stories,Product Design,Design,DKK,2015-09-01,50000.0,2015-07-18 23:27:25,950.0,failed,5,DK,63402$ usd,141.83,7464.69,"Harry Shore, 60142"
1271210588ID,Glenn Fabry Sketchbook 3!,Comic Books,Comics,GBP,2015-06-17,4500.0,2015-05-18 10:59:21,12112.0,successful,191,GB,97825$ usd,19183.38,7127.25,"Michelle Knoll, 19323"
1811753599ID,Baltimore Underground Magazine,Periodicals,Publishing,USD,2016-08-14,25000.0,2016-06-30 10:05:01,1.0,failed,1,US,91995$ usd,1.0,25000.0,"Bailey Brooks, 05042"
2134154218ID,Lucy's Patchimals!,Crafts,Crafts,GBP,2014-03-20,500.0,2014-03-14 21:13:44,40.0,failed,2,GB,86667$ usd,65.96,824.46,"Walter Spring, 42681"
1297543891ID,2015 Pod Racing (Canceled),Robots,Technology,USD,2015-03-01,25000.0,2015-01-15 22:46:18,556.0,canceled,10,US,67589$ usd,556.0,25000.0,"Smith Dam, 93811"
1776305943ID,Eco Guardians,Mobile Games,Games,AUD,2014-12-25,25000.0,2014-11-25 19:49:06,10.0,failed,1,AU,79058$ usd,8.11,20287.27,"John Wall, 67842"
1616831393ID,Help us construct with music (Canceled),Music,Music,USD,2011-04-09,10000.0,2011-03-10 05:20:04,0.0,canceled,0,US,86018$ usd,0.0,10000.0,"Jill Course, 75981"
192022803ID,Art is Art! Studio Start-Up,Digital Art,Art,USD,2015-02-08,1500.0,2015-01-11 01:35:25,1.0,failed,1,US,90742$ usd,1.0,1500.0,"James Turnpike, 42293"
926038987ID,H-Hour: World's Elite,Video Games,Games,USD,2013-07-07,200000.0,2013-06-07 23:00:45,252662.28,successful,2772,US,78076$ usd,252662.28,200000.0,"Richardson Freeway, 84139"
343618386ID,A Moment In The Movement - A cultural lacrosse documentary,Documentary,Film & Video,USD,2013-07-14,45000.0,2013-06-24 21:55:50,150.0,failed,3,US,68330$ usd,150.0,45000.0,"Elizabeth Vista, 44228"
1285356132ID,"Lunar Queen Scarf - it's not just a scarf, it's an art",Accessories,Fashion,USD,2016-04-26,1500.0,2016-03-22 18:22:58,781.0,failed,9,US,84594$ usd,781.0,1500.0,"Bishop Lake, 63925"
1149023483ID,"Pascua's BBQ Sauce  ""Magnificent irresistible flavors""",Small Batch,Food,USD,2015-11-28,2800.0,2015-10-29 02:29:11,60.0,failed,2,US,85200$ usd,60.0,2800.0,"Nathan Motorway, 38770"
1356702666ID,American Vacation (EP),Music,Music,USD,2014-09-05,3000.0,2014-08-06 19:00:10,3038.0,undefined,0,"N,0""",71865$ usd,3038.0,3000.0,"Hines Streets, 53722"
1992107184ID,Community Art Wall (Canceled),Public Art,Art,USD,2013-07-28,6750.0,2013-05-29 22:00:17,0.0,canceled,0,US,85307$ usd,0.0,6750.0,"Collins Pike, 12819"
627625272ID,F...,Nonfiction,Publishing,USD,2014-07-30,3000.0,2014-06-10 00:23:15,1040.0,failed,12,US,73502$ usd,1040.0,3000.0,"Sarah Stream, 46376"
1319470138ID,THE ART OF WINTERSOLDIER EXHIBIT/SHOW,Sculpture,Art,USD,2012-05-26,1400.0,2012-05-17 00:16:38,0.0,failed,0,US,67532$ usd,0.0,1400.0,"Rebecca Oval, 20142"
2138606235ID,Liberty Candle - Kim Jong-un,Product Design,Design,GBP,2016-07-04,10000.0,2016-05-23 19:40:04,89.0,failed,4,GB,80770$ usd,115.58,12986.34,"Kenneth Forks, 78556"
1000590709ID,Musical Light Suit,Hardware,Technology,USD,2011-06-28,6000.0,2011-05-19 09:09:15,20.0,failed,2,US,92451$ usd,20.0,6000.0,"Flowers Springs, 31895"
290060582ID,Flash Point: Fire Rescue,Tabletop Games,Games,USD,2011-08-18,5000.0,2011-07-19 18:04:56,51398.7,successful,895,US,53726$ usd,51398.7,5000.0,"Smith Circle, 15540"
2044360487ID,Lexicons of Dueling Scottish Claymore (Canceled),Games,Games,USD,2016-03-29,7700.0,2016-02-18 02:27:05,2903.0,canceled,23,US,86845$ usd,2903.0,7700.0,"Smith Isle, 56981"
165671171ID,Better Brownie Bites,Food,Food,USD,2014-08-17,2500.0,2014-07-09 14:26:36,0.0,failed,0,US,88779$ usd,0.0,2500.0,"Jessica Lights, 43485"
2011995524ID,HOME,Performances,Dance,USD,2016-11-03,4000.0,2016-10-04 21:09:19,4247.0,successful,52,US,69754$ usd,4247.0,4000.0,"Elizabeth Springs, 26677"
1453792214ID,The David Mayfield Parade Album #2,Music,Music,USD,2012-07-13,18000.0,2012-06-19 19:31:38,42924.34,successful,322,US,52947$ usd,42924.34,18000.0,"Singh Loop, 70025"
1594204495ID,MOMENTUM 2012,Dance,Dance,USD,2012-09-11,5000.0,2012-08-03 09:58:37,6104.0,successful,33,US,55860$ usd,6104.0,5000.0,"Jerry Lane, 69052"
800866842ID,Die Wahrheit - Der Kurzfilm,Shorts,Film & Video,EUR,2017-06-13,550.0,2017-05-09 07:50:16,20.0,failed,2,DE,86815$ usd,22.33,614.18,"Clarke Rest, 94958"
1333166874ID,Everlasting Love,Electronic Music,Music,USD,2014-01-17,30000.0,2013-12-18 19:44:07,35.0,failed,2,US,51108$ usd,35.0,30000.0,"Jimenez Common, 39570"
40737405ID,An Old-School RPG With A Modern Feel: AAIMIE,Video Games,Games,USD,2012-11-09,7000.0,2012-10-10 03:06:33,613.0,failed,34,US,77959$ usd,613.0,7000.0,"Rodriguez Court, 43058"
2063045818ID,The Last Surfari,Documentary,Film & Video,USD,2014-08-01,150000.0,2014-06-27 16:28:00,350.0,failed,5,US,76515$ usd,350.0,150000.0,"Steven Green, 75424"
1737770040ID,Unicorn Enamel Pins,Accessories,Fashion,GBP,2017-03-30,500.0,2017-03-09 21:31:00,1007.0,successful,63,GB,83304$ usd,1258.39,624.82,"Courtney Neck, 20519"
38729756ID,MUSIC MANIA - A Music Board Game (Canceled),Tabletop Games,Games,USD,2012-06-14,75000.0,2012-05-10 09:01:37,2866.0,canceled,45,US,89934$ usd,2866.0,75000.0,"Heather Plaza, 86150"
898961635ID,"Comic Book Reponse to the ""Twilight"" Craze",Comics,Comics,USD,2010-07-31,3000.0,2010-06-20 05:34:14,70.0,failed,3,US,91335$ usd,70.0,3000.0,"Romero Divide, 90001"
560310961ID,The voice of Romanian soul,Music,Music,EUR,2015-07-02,22000.0,2015-06-02 08:59:06,23770.0,successful,393,DE,91152$ usd,26375.07,24411.08,"Dixon Drives, 71576"
